aircraft,"1, 1, 0, 0"
alarm,"1, 1, 0, 0"
album,"1, 1, 0, 0"
ambulance,"1, 1, 0, 1"
apparatus,"1, 1, 0, 0"
aquarium,"1, 1, 0, 0"
armchair,"1, 1, 0, 0"
arrow,"1, 1, 0, 0"
suitcase,"1, 1, 0, 0"
purse,"1, 1, 0, 0"
ball,"1, 1, 0, 0"
bar,"1, 1, 0, 1"
barrel,"1, 1, 0, 0"
stand,"1, 1, 0, 0"
basket,"1, 1, 0, 1"
tub,"1, 1, 0, 0"
battery,"1, 1, 0, 0"
beam,"1, 1, 0, 0"
bed,"1, 1, 0, 0"
bell,"1, 1, 0, 0"
bench,"1, 1, 0, 0"
workbench,"1, 1, 0, 0"
bike,"1, 1, 0, 1"
bin,"1, 1, 0, 0"
blade,"1, 1, 0, 0"
boat,"1, 1, 0, 0"
bolt,"1, 1, 0, 0"
bomb,"1, 1, 0, 0"
bomber,"1, 1, 0, 0"
hamper,"1, 1, 0, 1"
bottle,"1, 1, 0, 1"
freighter,"1, 1, 0, 0"
bow,"1, 1, 0, 0"
bowl,"1, 1, 0, 1"
box,"1, 1, 0, 0"
brake,"1, 1, 0, 1"
brick,"1, 1, 0, 0"
brush,"1, 1, 0, 1"
pail,"1, 1, 0, 1"
bulb,"1, 1, 0, 1"
bullet,"1, 1, 0, 0"
bundle,"1, 1, 0, 0"
bus,"1, 1, 0, 0"
button,"1, 1, 0, 0"
cabinet,"1, 1, 0, 0"
call,"1, 1, 0, 1"
camera,"1, 1, 0, 0"
candle,"1, 1, 0, 1"
cane,"1, 1, 0, 0"
car,"1, 1, 0, 0"
rug,"1, 1, 0, 0"
pram,"1, 1, 0, 0"
cart,"1, 1, 0, 1"
case,"1, 1, 0, 1"
cassette,"1, 1, 0, 0"
cell,"1, 1, 0, 1"
chain,"1, 1, 0, 0"
chair,"1, 1, 0, 0"
chalk,"1, 1, 0, 0"
clock,"1, 1, 0, 0"
club,"1, 1, 0, 0"
coffin,"1, 1, 0, 0"
column,"1, 0, 0, 0"
compact,"1, 1, 0, 0"
computer,"1, 1, 0, 0"
counter,"1, 1, 0, 0"
cream,"1, 1, 0, 0"
crown,"1, 1, 0, 1"
crutch,"1, 1, 0, 1"
cup,"1, 1, 0, 1"
curtain,"1, 1, 0, 1"
desk,"1, 1, 0, 0"
sensor,"1, 1, 0, 0"
dish,"1, 1, 0, 0"
drawer,"1, 1, 0, 0"
drill,"1, 1, 0, 0"
drum,"1, 1, 0, 0"
engine,"1, 1, 0, 0"
envelope,"1, 1, 0, 0"
equipment,"1, 1, 0, 0"
perfume,"1, 1, 0, 0"
smell,"1, 1, 0, 0"
fax,"1, 1, 0, 0"
ferry,"1, 1, 0, 0"
file,"1, 1, 0, 0"
film,"1, 1, 0, 0"
filter,"1, 1, 0, 0"
flash,"1, 1, 0, 1"
furniture,"1, 1, 0, 0"
accelerator,"1, 1, 0, 0"
glass,"1, 1, 0, 1"
glasses,"1, 1, 0, 0"
guitar,"1, 1, 0, 0"
gun,"1, 1, 0, 0"
hammer,"1, 1, 0, 0"
chopper,"1, 1, 0, 0"
hook,"1, 1, 0, 0"
horn,"1, 1, 0, 0"
instrument,"1, 1, 0, 0"
jar,"1, 1, 0, 0"
kettle,"1, 1, 0, 0"
key,"1, 1, 0, 1"
knife,"1, 1, 0, 0"
knot,"1, 1, 0, 0"
lamp,"1, 1, 0, 1"
laser,"1, 1, 0, 1"
leash,"1, 1, 0, 1"
leg,"1, 1, 0, 0"
elevator,"1, 1, 0, 0"
lift,"1, 1, 0, 0"
light,"1, 1, 0, 1"
lighter,"1, 1, 0, 1"
line,"1, 1, 0, 0"
production_line,"1, 1, 0, 0"
link,"1, 1, 0, 0"
lock,"1, 1, 0, 1"
lounge,"1, 1, 0, 0"
mug,"1, 1, 0, 1"
mouse,"1, 1, 0, 0"
missile,"1, 1, 0, 0"
mirror,"1, 1, 0, 0"
mine,"1, 1, 0, 0"
mill,"1, 1, 0, 0"
microphone,"1, 1, 0, 0"
memory,"1, 1, 0, 0"
measure,"1, 1, 0, 0"
maze,"1, 1, 0, 0"
match,"1, 1, 0, 1"
marble,"1, 1, 0, 0"
makeup,"1, 1, 0, 0"
pump,"1, 1, 0, 1"
printer,"1, 1, 0, 0"
press,"1, 1, 0, 1"
pot,"1, 1, 0, 0"
pole,"1, 1, 0, 0"
pocket,"1, 1, 0, 0"
plane,"1, 1, 0, 0"
pill,"1, 1, 0, 0"
pier,"1, 1, 0, 0"
piano,"1, 1, 0, 0"
pencil,"1, 1, 0, 0"
pen,"1, 1, 0, 0"
paper,"1, 1, 0, 0"
pan,"1, 1, 0, 0"
packet,"1, 1, 0, 0"
pack,"1, 1, 0, 0"
organ,"1, 1, 0, 0"
notebook,"1, 1, 0, 0"
net,"1, 1, 0, 1"
needle,"1, 1, 0, 1"
nail,"1, 1, 0, 1"
shaft,"1, 1, 0, 1"
seat,"1, 1, 0, 0"
screw,"1, 1, 0, 0"
screen,"1, 1, 0, 1"
scale,"1, 1, 0, 0"
satellite,"1, 1, 0, 0"
rocket,"1, 1, 0, 1"
rifle,"1, 1, 0, 0"
register,"1, 1, 0, 0"
recording,"1, 1, 0, 0"
reactor,"1, 1, 0, 0"
railcar,"1, 1, 0, 0"
radio,"1, 1, 0, 0"
tool,"1, 1, 0, 0"
tin,"1, 1, 0, 0"
throne,"1, 1, 0, 0"
terminal,"1, 1, 0, 0"
television,"1, 1, 0, 0"
telephone,"1, 1, 0, 0"
taxi,"1, 1, 0, 0"
tape,"1, 1, 0, 0"
tap,"1, 1, 0, 0"
tank,"1, 1, 0, 1"
table,"1, 1, 0, 0"
sword,"1, 1, 0, 0"
switch,"1, 1, 0, 1"
swing,"1, 1, 0, 0"
support,"1, 1, 0, 0"
stool,"1, 1, 0, 0"
stick,"1, 1, 0, 0"
spring,"1, 1, 0, 0"
spoon,"1, 1, 0, 0"
speaker,"1, 1, 0, 0"
ski,"1, 1, 0, 0"
shell,"1, 1, 0, 1"
shelf,"1, 1, 0, 0"
whip,"1, 1, 0, 0"
wheel,"1, 1, 0, 0"
weight,"1, 1, 0, 0"
weapon,"1, 1, 0, 0"
watch,"1, 1, 0, 0"
wagon,"1, 1, 0, 1"
video,"1, 1, 0, 0"
vessel,"1, 1, 0, 1"
vehicle,"1, 1, 0, 1"
vat,"1, 1, 0, 1"
van,"1, 1, 0, 1"
truck,"1, 1, 0, 1"
trolley,"1, 1, 0, 0"
tray,"1, 1, 0, 0"
trap,"1, 1, 0, 1"
transmission,"1, 1, 0, 0"
train,"1, 1, 0, 0"
torch,"1, 1, 0, 1"
wing,"1, 1, 0, 0"
wire,"1, 1, 0, 0"
yacht,"1, 1, 0, 0"